52 	 # Number of sensors 
# x z 
-1.90 -1.27 
-0.95 -1.13 
0.00 -0.98 
0.94 -0.84 
1.88 -0.69 
2.81 -0.52 
3.75 -0.34 
4.78 -0.17 
5.82 0.00 
6.77 -0.01 
7.72 -0.02 
8.72 -0.06 
9.72 -0.10 
10.72 -0.14 
11.71 -0.17 
12.75 -0.36 
13.78 -0.54 
14.78 -0.51 
15.78 -0.47 
16.78 -0.41 
17.78 -0.35 
18.77 -0.27 
19.77 -0.19 
20.72 -0.27 
21.66 -0.34 
22.71 -0.34 
23.76 -0.33 
24.75 -0.48 
25.74 -0.63 
26.74 -0.67 
27.74 -0.71 
28.74 -0.63 
29.73 -0.55 
30.65 -0.81 
31.56 -1.07 
32.70 -0.91 
33.84 -0.75 
34.84 -0.83 
35.83 -0.91 
36.88 -0.93 
37.93 -0.94 
38.93 -0.98 
39.93 -1.01 
40.93 -0.93 
41.92 -0.84 
42.87 -0.89 
43.82 -0.93 
44.82 -0.99 
45.82 -1.05 
46.87 -1.04 
47.92 -1.03 
48.94 -1.26 
562 	 # Number of measurements 
# s g t err
28 15 0.01142 0.001
28 17 0.00968 0.001
28 19 0.01052 0.001
28 21 0.01059 0.001
28 23 0.00909 0.001
28 25 0.00604 0.001
28 27 0.00195 0.001
28 28 0.00000 0.001
28 29 0.00208 0.001
28 31 0.00520 0.001
28 33 0.00548 0.001
28 35 0.00812 0.001
28 37 0.00780 0.001
28 39 0.00906 0.001
28 41 0.01026 0.001
28 43 0.00987 0.001
28 45 0.00968 0.001
28 47 0.01000 0.001
28 49 0.01273 0.001
30 3 0.01295 0.001
30 5 0.01213 0.001
30 7 0.01194 0.001
30 9 0.01279 0.001
30 11 0.01134 0.001
30 13 0.01042 0.001
30 15 0.01091 0.001
30 17 0.00984 0.001
30 19 0.01024 0.001
30 21 0.01024 0.001
30 23 0.00878 0.001
30 25 0.00610 0.001
30 27 0.00469 0.001
30 29 0.00158 0.001
30 30 0.00000 0.001
30 31 0.00277 0.001
30 33 0.00369 0.001
30 35 0.00502 0.001
30 37 0.00576 0.001
30 39 0.00703 0.001
30 41 0.00814 0.001
30 43 0.00834 0.001
30 45 0.00843 0.001
30 47 0.00874 0.001
30 49 0.01110 0.001
32 3 0.01280 0.001
32 5 0.01201 0.001
32 7 0.01161 0.001
32 9 0.01254 0.001
32 11 0.01139 0.001
32 13 0.01049 0.001
32 15 0.01094 0.001
32 17 0.00960 0.001
32 19 0.01011 0.001
32 21 0.01068 0.001
32 23 0.00945 0.001
32 25 0.00646 0.001
32 27 0.00505 0.001
32 29 0.00313 0.001
32 31 0.00179 0.001
32 32 0.00000 0.001
32 33 0.00211 0.001
32 35 0.00317 0.001
32 37 0.00461 0.001
32 39 0.00595 0.001
32 43 0.00697 0.001
32 45 0.00710 0.001
32 47 0.00742 0.001
32 49 0.00978 0.001
34 3 0.01299 0.001
34 5 0.01266 0.001
34 7 0.01242 0.001
34 9 0.01227 0.001
34 11 0.01156 0.001
34 13 0.01043 0.001
34 15 0.01083 0.001
34 17 0.00951 0.001
34 19 0.00999 0.001
34 21 0.01081 0.001
34 23 0.00978 0.001
34 25 0.00669 0.001
34 27 0.00531 0.001
34 29 0.00328 0.001
34 31 0.00354 0.001
34 33 0.00267 0.001
34 34 0.00000 0.001
34 35 0.00256 0.001
34 37 0.00388 0.001
34 39 0.00557 0.001
34 43 0.00670 0.001
34 45 0.00711 0.001
34 47 0.00711 0.001
34 49 0.00951 0.001
36 3 0.01512 0.001
36 5 0.01396 0.001
36 7 0.01353 0.001
36 9 0.01382 0.001
36 11 0.01262 0.001
36 13 0.01190 0.001
36 15 0.01252 0.001
36 17 0.01089 0.001
36 19 0.01132 0.001
36 21 0.01214 0.001
36 23 0.01190 0.001
36 25 0.00833 0.001
36 27 0.00703 0.001
36 29 0.00469 0.001
36 31 0.00461 0.001
36 33 0.00447 0.001
36 35 0.00284 0.001
36 36 0.00000 0.001
36 37 0.00351 0.001
36 39 0.00621 0.001
36 41 0.00814 0.001
36 43 0.00838 0.001
36 45 0.00689 0.001
36 47 0.00734 0.001
36 49 0.00962 0.001
38 3 0.01705 0.001
38 5 0.01603 0.001
38 7 0.01576 0.001
